client_id	path	sentence	up_votes	down_votes	age	gender	accent
a4add2bae63a92fa9bc08633cb2329efc20897533d72781fa8e3e78e612b2bc99a5636f108c890f1fee8bd8160af70679b7e2bd86eaf3794075cd224e1a46a34	common_voice_kab_17361086.mp3	samya ɛellad	1	3	fourties	male	
97be11557d9e8e47759074e598119b2e1dcaf76a73fdde89fe4772144fe3168c9f370d3cbcaf63b40e1f976a664734e9cb8e03b274aeeaee2d5409255017602c	common_voice_kab_17361118.mp3	netta d nekk nusa-d	0	2	fourties	male	other
97be11557d9e8e47759074e598119b2e1dcaf76a73fdde89fe4772144fe3168c9f370d3cbcaf63b40e1f976a664734e9cb8e03b274aeeaee2d5409255017602c	common_voice_kab_17361119.mp3	iga aqcic	0	2	fourties	male	other
19c9498311e066d4f016671525b39680ea02a8f8ef5cf8759efdcd40845524312838081ccef919502a047a92004532e7fde72a67ab2c106c2330b49fd4190343	common_voice_kab_17361120.mp3	asmi i fkiɣ afus	0	3	fourties	male	other
a4add2bae63a92fa9bc08633cb2329efc20897533d72781fa8e3e78e612b2bc99a5636f108c890f1fee8bd8160af70679b7e2bd86eaf3794075cd224e1a46a34	common_voice_kab_17361133.mp3	yefka neɣ yeqqim	1	2	fourties	male	
6785861bb95e85720ec366d7551a9d563c1d72bff96ad4d14f2580d3cb8d153d14e3edf283dde13831ee08ea7f405b19eba56cc1d56e3c55a1e74975ba485214	common_voice_kab_17361498.mp3	ma yewweḍ ad yeṭṭenṭen akka almi qessiḥet tiyita i yečča	0	2	thirties	male	
6785861bb95e85720ec366d7551a9d563c1d72bff96ad4d14f2580d3cb8d153d14e3edf283dde13831ee08ea7f405b19eba56cc1d56e3c55a1e74975ba485214	common_voice_kab_17361499.mp3	Said yebda tikli	0	2	thirties	male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17362848.mp3	ad as-n-yawi	2	3		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17362887.mp3	ṣṣuṛa-m tugi ad temḥu	0	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17362896.mp3	amek ara yissineɣ	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17362902.mp3	deg tezwara iban-iyi-d ssut-nni am wakken yettergigi yettnegzam ur yemmid ara maḍi	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17362913.mp3	ubqel ad ḍelqeɣ ifer-iw	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17362921.mp3	Nna Ḍrifa teɣra cwiṭ ar yimṛabḍen n iṛumyen	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17362925.mp3	abeṛnus ɣlay-t lqima-s	1	2		male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363189.mp3	Usiɣ-d imi i ttwaεerḍeɣ	2	3	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363195.mp3	ur tettu at smaɛel	0	3	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363209.mp3	di Bgayet	1	2	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363219.mp3	tilufa n umberrez mazal ur frint ara	1	2	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363246.mp3	yenna-as-t-id mi t-yeẓra	0	2	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363276.mp3	i yeɣlin din-a d leḥṛaṛ	1	2	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363288.mp3	ad aɣ-tent-id-yawi	0	2	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363292.mp3	Temmeslay-d ɣef inagan n tuqqna ammesten mgal aḍfaṛ akked useqdec n ipṛuksiyen http	0	2	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363297.mp3	iḥqer-it aṭas armi i as-d-iban yif arrac akken ma llan	0	2	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363310.mp3	zik-nni d tikci n yiwet n teqcict tahuskayt d taḥurrit d asfel iɛumm	0	3	fourties	male	
1ee587f52b672f99d5abc8746b84f9ec2094b2ee12f09ee89acbedcb54dbba028279b041237662b157bbbe41205b963f6286c6e1bee65726f8e3c790fd80d246	common_voice_kab_17363317.mp3	Nna Ḍrifa teɣra cwiṭ ar yimṛabḍen n iṛumyen	1	2	fourties	male	
5963a56af697f8aebe6ddd1bb7aefabb6276186c66a502efcb01d0bc284f452605ac9923a77d6429886baf9f51bd96e9aea882001a98a688cba571e2d0369895	common_voice_kab_17363444.mp3	uqbel ad n-zziɣ ɣur-wen	0	3			
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363474.mp3	Di teswiεt-a ideg nella tidlisin n tesnujjya s teqbaylit uggaɣ ulac aḥiri deg-sent	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363480.mp3	yefka-as-t i yemma-s	0	3		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363517.mp3	aḍris amnezu	0	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363520.mp3	ayen yeεnan ungal atrar d tidet d amaynut deg tuget meqqren n tmeslayin	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363529.mp3	itečč-asent ayla-nsent	0	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363610.mp3	ɣef udriz i tent-ɣunzan	2	3		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363630.mp3	tezriḍ nekk yid-k i necfa	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363641.mp3	abeṛnus i s-d-yeǧǧa baba-s	0	3		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363820.mp3	i fell-i nekk ad hedreɣ	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363837.mp3	Temmeslay-d ɣef inagan n tuqqna ammesten mgal aḍfaṛ akked useqdec n ipṛuksiyen http	1	2		male	
5cf4956f66c5c756209a9302f16b8bcf33cf2f476bc528abdd8bf6b99fae5dc76f5d20ccac040b1a1c5b192acbc0effc23fe3e8c7f509b5d605c584af1d7b627	common_voice_kab_17363859.mp3	d timellalin i deg-sent	1	2		male	
ce1223952600c51f9a4d06997f3dbab1c2fcb432fc369dc89229e32ba053a9d8975a4dc76d3b9a886ee18d8626176792f1de88d0d664d8c0413a3d5332a84f12	common_voice_kab_17363925.mp3	win i as-yennan ahat	1	2	fourties	male	
ce1223952600c51f9a4d06997f3dbab1c2fcb432fc369dc89229e32ba053a9d8975a4dc76d3b9a886ee18d8626176792f1de88d0d664d8c0413a3d5332a84f12	common_voice_kab_17363926.mp3	d tamurt n rṣaṣ d nniḍam	2	3	fourties	male	
ce1223952600c51f9a4d06997f3dbab1c2fcb432fc369dc89229e32ba053a9d8975a4dc76d3b9a886ee18d8626176792f1de88d0d664d8c0413a3d5332a84f12	common_voice_kab_17363927.mp3	kunwi d kunemti teččimt	1	2	fourties	male	
d66f75bdd175370abb4f24d723fe18a7fda2834022f41582d1a6203787e101d16f16bedc25a33d9aab2758a97d6c22f70ec3a042d65764e5a9872117ac23546e	common_voice_kab_17363928.mp3	Tukkist seg ungal	1	3			
d66f75bdd175370abb4f24d723fe18a7fda2834022f41582d1a6203787e101d16f16bedc25a33d9aab2758a97d6c22f70ec3a042d65764e5a9872117ac23546e	common_voice_kab_17363930.mp3	makken ur s-yefka ara aɣrum	1	2			
67f2256bbb74ceb7fcef38671c0c7fa429503a4c9309aff890e633bfb416655faa10f2eabe42d32a6edbe64b173f285d41c1daf9837ef51aafe652fe8cdbd233	common_voice_kab_17363948.mp3	yeddem-awen-tent-id	1	2	thirties	male	
67f2256bbb74ceb7fcef38671c0c7fa429503a4c9309aff890e633bfb416655faa10f2eabe42d32a6edbe64b173f285d41c1daf9837ef51aafe652fe8cdbd233	common_voice_kab_17364034.mp3	d ttawil yettḥaraben si temsalmit i d-yettakk ubirus n anflwanza	1	2	thirties	male	
67f2256bbb74ceb7fcef38671c0c7fa429503a4c9309aff890e633bfb416655faa10f2eabe42d32a6edbe64b173f285d41c1daf9837ef51aafe652fe8cdbd233	common_voice_kab_17364334.mp3	ad tuɣal temɣart-nni	0	2	thirties	male	
